source_path,destination_path,classification,status,sha256,action,reason,error
/root/stell/STELL_KNOWLEDGE_SYNC.md,/root/workspace/audit/STELL_SYSTEM_CORE/08_tool_policies/root/stell/STELL_KNOWLEDGE_SYNC.md,Tool policies,active,a5941ebdc80502aea7978e4730db3b39c60e87736b80e3affcc0b9d575bad13d,copied,active,
/root/stell/knowledge-map.json,/root/workspace/audit/STELL_SYSTEM_CORE/08_tool_policies/root/stell/knowledge-map.json,Tool policies,active,46ca50955bb5eb585f2cbd242f86a31787d3a0ca9f4a9fdf00a4694a0657d467,copied,active,
/root/stell/playbooks/README.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/README.md,Playbooks,active,2d22a1b0f356241345044e6d0398126b3dc998f76b04d0af95c1e578f080f227,copied,active,
/root/stell/playbooks/admin/README.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/admin/README.md,Playbooks,active,eef2c055e1e029f347f538e2f2a29d8ca76aa3951df0305763380624d28fef60,copied,active,
/root/stell/playbooks/admin/platform-ops.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/admin/platform-ops.md,Playbooks,active,bcccf86f01b54cc4f4c2dae854d93dda9d790d5494cf733e7eb9027370a6a736,copied,active,
/root/stell/playbooks/delegation/README.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/delegation/README.md,Playbooks,active,ea046b63adc37bb3b65d3f5c5a6e1c707e3d662f94126dd4c3272deb64289243,copied,active,
/root/stell/playbooks/delegation/ai-routing.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/delegation/ai-routing.md,Playbooks,active,a34d027e8033c2a11485f351126f76caf6436466b4f1cb7c89dbbe45ed427b55,copied,active,
/root/stell/playbooks/whatsapp/README.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/whatsapp/README.md,Playbooks,active,2565b9a46b77e8d85c99e4c4253f0dbb3ac95b713a1e4fe4f6656a2ff440b07b,copied,active,
/root/stell/playbooks/whatsapp/komutlar.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/stell/playbooks/whatsapp/komutlar.md,Playbooks,active,77449f4ca5d3e2928e5118dec442d8c83f3294b297c8a37bfef0a603997e8157,copied,active,
/root/stell/policies/README.md,/root/workspace/audit/STELL_SYSTEM_CORE/03_global_policies/root/stell/policies/README.md,Global policies,active,e9a30b35be3d08f6771479337972152707212d5520ea901c91d696f6f2136038,copied,active,
/root/stell/policies/approval/README.md,/root/workspace/audit/STELL_SYSTEM_CORE/03_global_policies/root/stell/policies/approval/README.md,Global policies,active,bd7b57ad400e55fa235c0d3870cc4ba4e9737abf4755378ff14e27fa8c0c7908,copied,active,
